C,-9.15E-08,0.716723323,-7.333236517
C,2.79E-07,-0.71672423,-7.333236272
C,1.77E-07,-1.409436114,-6.161420078
C,8.98E-08,-0.727867541,-4.89769391
C,-2.50E-08,0.727867387,-4.897694145
C,-1.75E-07,1.409435583,-6.16142052
C,5.90E-08,-1.407316186,-3.692010447
C,-5.88E-08,-0.728995619,-2.449560268
C,-7.14E-08,0.728996074,-2.449560425
C,-2.34E-08,1.407316437,-3.692010808
C,-8.95E-08,-1.408146067,-1.23017651
C,-9.21E-08,-0.72956932,-8.31E-11
C,-9.21E-08,0.729569967,-8.31E-11
C,-1.26E-07,1.408146799,-1.230176645
C,-4.69E-08,-1.408146037,1.230176497
C,-4.33E-08,-0.728995635,2.44956028
C,-5.89E-08,0.728996036,2.449560422
C,-8.50E-08,1.408146788,1.230176639
C,9.80E-10,-1.407316172,3.692010423
C,5.72E-08,-0.727867559,4.897693921
C,-6.00E-08,0.727867394,4.897694139
C,-9.00E-08,1.40731645,3.692010795
C,2.21E-07,-1.4094361,6.161420084
C,2.80E-07,-0.716724218,7.333236285
C,-9.24E-08,0.716723311,7.33323652
C,-1.34E-07,1.409435588,6.161420539
H,-8.84E-08,1.245481748,-8.279672327
H,4.99E-07,-1.245482935,-8.279671933
H,3.04E-07,-2.49445529,-6.16121887
H,-2.65E-07,2.494454838,-6.161219699
H,8.71E-08,-2.493028782,-3.692781981
H,-8.67E-08,2.493029223,-3.692782636
H,-7.29E-08,-2.493740442,-1.230473202
H,-1.59E-07,2.49374146,-1.230473471
H,-3.37E-08,-2.493740418,1.230473207
H,-1.20E-07,2.493741446,1.230473431
H,3.36E-08,-2.493028772,3.692781979
H,-1.56E-07,2.49302923,3.692782602
H,3.33E-07,-2.494455276,6.161218916
H,4.34E-07,-1.245482957,8.279671927
H,-1.65E-07,1.245481752,8.279672326
H,-2.51E-07,2.494454841,6.161219732
